Soil_Type,Average_pH,Suitable_Plants,Improvement_Suggestion
Dry,6.5,Neem; Peepal; Banyan; Arjun,Add compost and organic manure; mulch to retain moisture
Moist,6.8,Bamboo; Tulsi; Hibiscus; Banana,Add organic fertilizer; ensure proper drainage
Sandy,7.0,Palm; Coconut; Date Palm; Casuarina,Add compost and manure to increase water retention
Loamy,6.7,Rose; Marigold; Guava; Mango,Maintain with compost; balanced NPK fertilizer
Clay,6.3,Willow; Arjun; Jamun,Add sand and organic matter to improve aeration
Indoor Potting Mix,6.5,Snake Plant; Money Plant; Spider Plant; Peace Lily,"Use cocopeat, compost, and perlite mix"
Acidic,5.8,Pine; Azalea; Hydrangea,Add organic compost; avoid excess lime
Alkaline,7.8,Bougainvillea; Oleander; Lantana,Add sulfur or organic matter to balance pH
Rocky,6.9,Juniper; Barberry,Add topsoil and compost layer for root development
Wetland,6.6,Lotus; Water Lily; Bamboo,Ensure nutrient‑rich sediment and natural compost
